跟蹤騷擾防制法,跟騷法
勞動基準法,勞基法
憲法訴訟法,憲訴法
兒童及少年福利與權益保障法,兒少法
民事訴訟法,民訴法
刑事訴訟法,刑訴法
行政程序法,行程法
公民與政治權利國際公約及經濟社會文化權利國際公約,兩公約
性別平等教育法,性平法
性別工作平等法,性工法
道路交通管理處罰條例,道交條例
公職人員選舉罷免法,選罷法
國道一號,國一
中山高速公路,中山高
國道一號甲線,國一甲
國道二號,國二
國道二號甲線,國二甲
國道三號,國三
國道三號甲線,國三甲
國道四號,國四
國道五號,國五
國道六號,國六
國道七號,國七
國道八號,國八
國道十號,國十
福爾摩沙高速公路,福高
第二高速公路北段,北二高
第二高速公路中段,中二高
第二高速公路南段,南二高
北宜高速公路,北宜高
雪山隧道,雪隧
蘇花公路改善計畫,蘇花改
台中捷運,中捷
台北車站,北車
台北捷運,北捷
台灣高速鐵路,台灣高鐵
桃園機場,桃機
高雄火車站,高火
高雄捷運,高捷
桃園機場捷運,機捷
貓空纜車,貓纜
西部濱海快速公路,西濱
松山火車站,松火
板橋車站,板車
汐止火車站,汐火
新竹火車站,竹火
花蓮火車站,花火
桃園火車站,桃火
基隆車站,基車
新竹客運,新客
台中客運,中客
桃園客運,桃客
羅斯福路幹線,羅幹
台灣糖業公司,台糖
台灣中油公司,中油
台灣電力公司,台電
台灣自來水公司,台水
中國輸出入銀行,輸銀
臺灣金融控股股份有限公司,臺灣金控
臺灣銀行,臺銀
臺灣土地銀行,土銀
臺灣菸酒股份有限公司,臺酒
中華郵政股份有限公司,郵局
國營臺灣鐵路股份有限公司,臺鐵
臺灣港務公司,港務公司
桃園國際機場公司,桃機公司
桃園國際機場,桃機
中央存款保險公司,中央存保
全國農業金庫,農業金庫
衛生福利部,衛福部
數位發展部,數發部
國家科學及技術委員會,國科會
國家發展委員會,國發會
大陸委員會,陸委會
金融監督管理委員會,金管會
海洋委員會,海委會
僑務委員會,僑委會
國軍退除役官兵輔導委員會,退輔會
原住民族委員會,原民會
客家委員會,客委會
中央銀行,央行
中央選舉委員會,中選會
公平交易委員會,公平會
台灣設計研究院,設研院
文化內容策進院,文策院
中央研究院,中研院
國家中山科學研究院,中科院
工業技術研究院,工研院
促進轉型正義委員會,促轉會
財團法人中文數位化技術推廣基金會,中推會
財團法人資訊工業策進會,資策會
國家教育研究院,國教院
民用航空局,民航局
高速公路局,高公局
疾病管制署,疾管署
食品藥物管理署,食藥署
國家運輸安全調查委員會,運安會
不當黨產處理委員會,黨產會
核能安全委員會,核安會
消費者保護會,消保會
國民健康署,國健署
行政院,政院
立法院,立院
監察院,監院
地方檢察署,地檢署
地方法院,地院
高等法院,高院
最高法院,最高院
台北流行音樂中心,北流
臺北表演藝術中心,北藝中心
高雄流行音樂中心,高流
松山文創園區,松菸
國立海洋科技博物館,海科館
國立臺灣博物館,臺博館
國立臺灣科學教育館,科教館
臺北市立天文科學教育館,天文館
臺北市立美術館,北美館
國立故宮博物院,故宮
國立國父紀念館,國館
國家人權博物館,人權館
國家圖書館,國圖
國立臺灣美術館,國美館
國立自然科學博物館,科博館
國立公共資訊圖書館,國資圖
嘉義市立美術館,嘉美館
臺南市美術館,南美館
國立臺灣歷史博物館,臺史博
國立歷史博物館,史博館
國立科學工藝博物館,科工館
駁二藝術特區,駁二
高雄市立美術館,高美館
國立海洋生物博物館,海生館
臺東美術館,東美館
國立臺灣史前文化博物館,史前館
國立傳統藝術中心,傳藝中心
宜蘭縣立蘭陽博物館,蘭博館
國家電影及視聽文化中心,國家影視聽中心
國家運動訓練中心,國訓中心
國家住宅及都市更新中心,國家住都中心
國家災害防救科技中心,災防中心
國家資通安全研究院,資安院
國家兩廳院,兩廳院
中華民國外交部,魔法部
國立故宮博物館南部院區,故宮南院
國家安全局,國安局
國家安全會議,國安會
美國聯邦調查局,FBI
美國中央情報局,CIA
美國聯邦準備系統,聯準會
麻省理工學院,MIT
台灣製造,台製
中國共產黨,中共
越南共產黨,越共
蘇聯共產黨,蘇共
臺北世界貿易中心,世貿
總統府秘書長,府秘
國際特赦組織,AI
產品經理,PM
系統分析師,SA
系統設計師,SD
程式設計師,PG
網管人員,MIS
前端工程師,F2E
使用者經驗,UX
使用者介面,UI
視覺設計師,VD
Product Manager,PM
System Analyst,SA
System Designer,SD
Programmer,PG
Management Information System,MIS
Quality Assurance,QA
Front-End Developer,F2E
Visual Designer,VD
品質保證,QA
品質控制,QC
Quality Control,QC
總經理,MD
創意總監,CD
副創意總監,ACD
美術指導,AD
媒體總監,MD
廣告規劃,AE
廣告影片,CF
影片中的旁白,OS
店頭廣告,POP
直接行銷,DM
企業識別設計,CIS
圖形使用者介面,GUI
通用設計,UD
Managing Director,MD
Creative Director,CD
Associated Creative Director,ACD
Art Director,AD
Media Director,MD
Account Executive,AE
Commercial Film,CF
omt sound,OS
Point of Purchase Advertising,POP
Direct Marketing,DM
Corporate Identity System,CIS
Brand Identity System,BIS
Graphic User Interface,GUI
Universal Design,UD
Business Continuity Plan,BCP
營運持續計畫,BCP
curriculum vitae,C.V.
人力資源,人資
公共關係,公關
採購部,PD
商務發展部,BD
客服部,CS
專案經理,PM
工讀生,PT
執行長,CEO
財務長,CFO
行銷長,CMO
Human Resources,HR
Public Relations,PR
Purchasing Department,PD
Business Development,BD
Research & Development,RD
Customer Service,CS
Project Manager,PM
Part Time,PT
Chief Executive Officer,CEO
Chief Financial Officer,CFO
Chief Marketing Officer,CMO
Database Administrator,DBA
管理資訊系統,MIS
資料庫設計與管理人員,DBA
Key Performance Indicator,KPI
